区市町村名,学校名,募集人員の計,最終応募人員の計,最終応募倍率の計
千代田,日比谷,254,546,2.15
港,三田,206,423,2.05
新宿,戸山,254,525,2.07
文京,竹早,210,383,1.82
文京,向丘,222,438,1.97
台東,上野,254,500,1.97
台東,白鷗,62,108,1.74
墨田,日本橋,181,306,1.69
墨田,本所,191,289,1.51
江東,城東,254,374,1.47
江東,東,191,397,2.08
江東,深川,185,338,1.83
品川,大崎,223,325,1.46
品川,小山台,254,384,1.51
品川,八潮,150,137,0.91
目黒,駒場,222,306,1.38
目黒,目黒,191,434,2.27
大田,大森,159,153,0.96
大田,蒲田,87,96,1.10
大田,田園調布,170,325,1.91
大田,雪谷,223,397,1.78
世田谷,桜町,254,275,1.08
世田谷,千歳丘,223,227,1.02
世田谷,深沢,143,60,0.42
世田谷,松原,158,231,1.46
渋谷,青山,250,558,2.23
渋谷,広尾,189,417,2.21
中野,鷺宮,222,415,1.87
中野,武蔵丘,254,386,1.52
杉並,杉並,254,295,1.16
杉並,豊多摩,254,533,2.10
杉並,西,254,442,1.74
豊島,豊島,222,452,2.04
豊島,文京,285,525,1.84
荒川,竹台,144,211,1.47
板橋,板橋,223,293,1.31
板橋,大山,171,152,0.89
板橋,北園,254,523,2.06
練馬,高島,254,301,1.19
練馬,井草,223,475,2.13
練馬,石神井,222,411,1.85
練馬,田柄,124,81,0.65
練馬,練馬,191,214,1.12
練馬,光丘,185,163,0.88
足立,青井,139,119,0.86
足立,足立,222,353,1.59
足立,足立新田,210,158,0.75
足立,足立西,158,184,1.16
足立,足立東,124,132,1.06
足立,江北,254,389,1.53
足立,淵江,175,220,1.26
葛飾,葛飾野,254,231,0.91
葛飾,南葛飾,162,241,1.49
江戸川,江戸川,254,424,1.67
江戸川,葛西南,192,165,0.86
江戸川,小岩,285,474,1.66
江戸川,小松川,254,351,1.38
江戸川,篠崎,223,243,1.09
江戸川,紅葉川,191,311,1.63
八王子,片倉,191,238,1.25
八王子,八王子北,159,165,1.04
八王子,八王子東,254,410,1.61
八王子,富士森,250,298,1.19
八王子,松が谷,190,299,1.57
立川,立川,222,285,1.28
武蔵野,武蔵野北,191,266,1.39
青梅,多摩,159,118,0.74
府中,府中,222,397,1.79
府中,府中西,236,278,1.18
府中,府中東,241,356,1.48
昭島,昭和,254,481,1.89
昭島,拝島,223,210,0.94
調布,神代,222,469,2.11
調布,調布北,190,326,1.72
調布,調布南,191,362,1.90
町田,小川,254,314,1.24
町田,成瀬,223,286,1.28
町田,野津田,96,84,0.88
町田,町田,254,328,1.29
町田,山崎,140,131,0.94
小金井,小金井北,191,267,1.40
小平,小平,159,230,1.45
小平,小平西,223,228,1.02
小平,小平南,223,403,1.81
日野,日野,254,327,1.29
日野,日野台,242,336,1.39
日野,南平,254,396,1.56
東村山,東村山,118,153,1.30
東村山,東村山西,191,157,0.82
国立,国立,254,419,1.65
福生,福生,223,274,1.23
狛江,狛江,254,394,1.55
東大和,東大和,223,270,1.21
東大和,東大和南,222,350,1.58
清瀬,清瀬,222,304,1.37
東久留米,久留米西,190,199,1.05
武蔵村山,武蔵村山,223,209,0.94
多摩,永山,241,276,1.15
羽村,羽村,195,172,0.88
あきる野,秋留台,137,165,1.20
あきる野,五日市,128,69,0.54
西東京,田無,254,338,1.33
西東京,保谷,254,378,1.49
大島,大島,80,27,0.34
新島,新島,40,13,0.33
神津島,神津,40,15,0.38
三宅,三宅,40,4,0.10
八丈,八丈,78,38,0.49
小笠原,小笠原,30,16,0.53
